ID,Lloc,Data,Hora,P.1,P.1.1,P.1.2,P.2,P.3,P.4,P.5,P.6.1,P.6.2,P.7.1,P.7.2,P.7.3,P.8.1,P.8.2,P.8.3,P.8.4,P.8.5,P.8.6,P.8.7,P.8.8,P.8.9,P.8.10,P.8.11,P.8.12,P.8.13,P.9.1,P.9.2,P.9.3,P.9.4,P.9.5,P.9.6,P.9.7,P.9.8,P.9.9,P.9.10,P.9.11,P.9.12,P.9.13,P.9.14,P.9.15,P.9.16,P.9.17,P.9.18,P.9.19,P.9.20,P.9.21,P.9.22,P.10,P.11,P.12,P.12.1,P.12.2,P.13.1,P.13.2,P.13.3,P.13.4,P.13.5,P.13.6,P.13.7,P.13.8,P.13.9,P.13.10,P.13.11,P.13.12,P.13.13,P.13.14,P.14,P.15,P.16,P.17.1,P.17.2,Observacions
        11,1,2013-11-22,09:46:00,2,1,10,1,1,3,20,4,1,"Sida, gonorrea","Clamidia,infeccions","Embarassos no desitjats, preocupacions",4,4,4,4,4,2,1,4,1,4,2,3,1,2,2,1,1,2,2,1,2,3,1,2,3,1,2,3,3,1,3,2,3,2,1,15,1,1,2,12,2,1,2,1,1,1,1,2,1,2,1,1,2,4,5,4,2,3,3,
        12,1,2013-11-22,09:50:00,2,1,4,1,1,2,22,3,4,"Ets, infeccions",No hi ha enfermetats lleus,"Embarassos no desitjats,confiança",3,3,2,1,3,2,1,2,1,3,1,1,1,2,3,1,2,1,1,1,3,1,1,3,2,1,3,3,3,1,3,2,NA,3,1,16,1,1,2,96,1,2,2,2,2,1,1,2,NA,1,1,1,11,10,4,2,1,3,2,
        13,1,2013-11-22,13:55:00,2,1,5,1,1,3,20,1,4,"Sida, hepatitis, sífilis","infeccions, fongs",Embarassos no desitjats,4,3,4,3,4,2,2,3,2,3,1,3,1,3,2,1,2,1,1,1,4,3,1,3,2,1,NA,3,3,1,3,3,3,3,3,18,1,1,2,24,1,1,22,2,1,1,1,2,2,2,1,2,11,6,5,1,2,3,3,
        14,1,2013-11-22,14:12:00,2,1,5,1,1,3,21,3,5,Sida,Gonorrea,Embarassos no desitjats,4,3,2,2,3,2,1,3,1,3,1,1,1,4,3,1,2,2,2,3,3,2,1,3,3,1,3,3,3,1,3,2,3,3,1,17,1,1,2,24,2,1,2,2,2,1,1,2,2,1,1,1,7,6,5,4,1,4,3,
        15,1,2013-11-22,10:20:00,2,1,5,2,1,2,19,3,4,"Sida, Gonorrea ...",Fongs,Embarassos no desitjats,4,3,4,4,3,1,1,3,1,3,1,3,1,2,2,1,2,1,2,2,3,2,1,3,3,1,NA,2,3,1,3,2,3,2,3,13,1,1,1,36,2,1,2,1,1,2,1,2,2,1,2,2,7,6,4,3,1,2,3,
        16,1,2013-11-22,10:40:00,2,1,4,1,1,3,23,2,5,98,98,Embarassos no desitjats,4,2,2,1,4,4,3,2,3,3,2,2,2,2,2,1,3,1,1,2,4,4,1,3,2,3,1,2,3,1,3,3,3,3,3,17,1,2,NA,NA,2,1,2,1,2,1,1,2,1,2,1,1,9,9,3,1,1,4,4,
        17,1,2013-11-22,10:35:00,2,1,4,2,1,1,18,3,7,"Sida, Gonorrea",Herpes,Embarassos no desitjats,4,4,3,4,4,4,4,4,4,3,1,4,2,3,3,1,2,1,1,3,3,1,1,3,2,1,NA,3,3,1,3,3,3,2,3,15,1,1,1,36,2,1,2,1,2,2,1,2,1,1,1,2,7,7,3,2,1,3,2,
        18,1,2013-11-22,13:35:00,2,1,2,1,1,1,18,3,5,Sida,98,99,4,4,3,4,2,2,2,2,2,2,2,1,2,4,3,2,2,3,3,3,3,3,2,3,2,1,2,3,3,3,3,3,3,3,1,16,1,1,2,NA,1,1,NA,NA,NA,2,NA,2,1,1,1,2,NA,NA,3,2,NA,4,4,
        19,1,2013-11-22,11:05:00,2,1,2,1,1,1,17,3,5,Sida,98,98,4,3,3,3,3,2,2,3,2,2,1,2,2,2,3,2,2,1,1,2,4,3,1,3,3,1,2,3,3,1,3,2,3,2,1,17,1,2,NA,NA,1,1,2,1,1,1,1,2,1,1,1,2,2,2,NA,2,NA,2,4,"Realitzada simultàniament amb les id: 4,20 i 24"
        20,1,2013-11-22,11:05:00,2,1,2,1,1,1,21,3,4,Sida,99,99,4,4,4,NA,4,3,3,4,2,3,1,4,1,2,2,1,1,2,2,1,4,1,1,4,3,2,1,3,3,1,3,2,3,3,1,16,1,2,NA,NA,1,1,2,1,2,2,1,2,2,1,1,1,11,7,3,2,1,3,3,"Realitzada simultàniament amb les id: 4,19 i 24"
        21,1,2013-11-22,11:10:00,2,1,11,1,1,1,19,NA,4,"Sida, Gonorrea",98,98,4,3,3,4,4,4,3,3,2,2,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,3,3,3,3,3,3,3,3,NA,1,2,NA,NA,2,1,1,1,2,2,1,2,2,2,2,2,4,6,1,1,1,3,4,
        22,1,2013-11-22,11:00:00,2,1,5,1,1,4,21,3,4,Sida,98,Embarassos no desitjats,4,4,4,4,4,3,3,3,2,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,1,3,4,4,2,3,15,1,1,2,72,1,1,2,1,2,2,1,2,2,2,2,2,4,6,NA,NA,1,4,4,
        23,1,2013-11-22,14:30:00,2,1,3,1,1,2,20,3,5,Sida,"Gonorrea, Ladillas","Estres, intranquilitat, problemes relacionats",3,3,3,4,4,2,2,4,4,3,1,3,2,2,2,1,1,2,2,1,3,4,1,2,3,1,3,3,4,1,3,2,3,3,3,16,1,1,2,13,1,1,1,1,1,1,1,2,2,1,1,2,10,10,4,3,1,1,3,
        24,1,3013-11-22,11:05:00,2,1,10,1,1,1,18,4,5,"Sida, Sifilis",98,Embarassos no desitjats,4,3,4,3,4,3,2,3,2,3,1,3,2,3,3,2,3,2,2,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,17,1,2,NA,98,1,1,2,1,2,1,1,2,1,2,2,1,2,7,2,1,1,2,3,"Realitzada simultàniament amb les id: 4,20 i 24"
        25,1,2013-11-21,13:10:00,2,1,5,2,1,3,20,3,4,"VIH, Hepatitis, Gonorrea, Sifilis","Herpes,Cistitis","Embaràs no desitjat, trastorn psicològic",4,3,3,3,3,2,2,3,1,3,1,3,1,2,1,1,2,1,1,1,3,1,1,3,3,1,4,3,3,1,NA,2,3,2,1,18,1,1,1,24,1,1,2,1,2,2,1,2,2,1,1,1,2,2,4,2,1,4,4,
        26,1,2013-11-22,09:05:00,2,1,2,1,1,2,19,1,2,"VIH,Sifilis, Gonorrea",99,Embaràs,4,2,3,3,4,4,1,4,3,3,1,3,1,2,3,1,2,1,1,2,4,1,1,3,3,1,3,3,3,1,NA,2,3,3,1,17,1,2,NA,NA,2,1,2,1,2,1,1,1,1,1,2,2,7,7,2,2,1,4,4,
        27,1,2013-11-22,09:22:00,2,1,4,1,1,2,19,3,4,"Hepatitis, Sida, Sifilis","Gonorrea,Clamidia",Embaràs no desitjat,4,3,3,3,3,2,1,2,1,3,1,3,1,3,2,1,2,1,1,2,4,2,1,3,3,1,3,3,3,1,3,2,3,2,1,17,1,2,NA,NA,1,1,2,2,2,1,1,2,2,1,1,1,2,6,3,2,1,1,2,
        28,1,2013-11-22,09:45:00,2,1,3,1,1,2,20,2,3,Sida,"Herpes, Verrugues vaginals,fongs, papilomes",Embaràs no desitjat,4,4,3,4,3,1,1,3,1,3,1,3,1,2,2,1,1,1,1,1,3,1,1,2,3,1,3,1,3,1,3,2,3,2,1,16,1,1,2,24,1,1,2,2,2,1,1,2,2,1,1,1,2,2,4,2,1,3,3,
        29,1,2013-11-25,15:34:00,2,1,4,1,1,2,19,3,4,"VIH, Càncer",98,98,4,4,3,3,3,2,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,1,3,2,3,3,1,15,1,1,2,36,1,1,2,1,2,1,1,1,1,1,1,1,6,6,NA,2,1,4,4,
        30,1,2013-11-22,10:02:00,2,1,5,2,1,1,18,3,4,"Sida, Gonorrea,Sifilis","Verrugues, cistitis",99,4,3,4,3,3,3,1,3,1,3,1,3,1,2,2,1,2,1,1,2,3,2,1,3,2,1,4,3,3,1,3,2,3,2,1,17,1,1,1,12,1,1,2,2,2,1,1,2,2,1,1,1,2,2,3,2,1,2,3,
        31,1,2013-11-20,10:05:00,2,1,3,1,1,1,19,3,5,"SIDA, Hepatitis","Gonorrea, sífilis, ladilles",Embaràs no desitjat,4,3,4,3,3,2,1,3,2,2,1,2,1,3,2,1,2,1,1,2,3,1,1,2,3,1,3,3,3,3,3,2,3,2,1,17,1,1,2,21,1,1,2,2,1,1,1,2,2,1,1,1,11,6,3,NA,1,2,3,
        32,1,2013-11-20,10:20:00,2,1,3,1,1,1,20,5,NA,"SIDA, sifilis, gonorrea",Herpes,98,4,3,NA,NA,4,3,2,3,2,2,1,2,1,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,3,3,3,3,3,1,16,1,2,NA,NA,2,1,2,1,1,1,1,2,2,2,1,2,2,6,NA,2,2,4,3,
        33,1,2013-11-20,11:15:00,2,1,2,1,1,3,21,3,5,"SIDA, gonorrea, hepatitis","herpes vaginal, ladilles",Embaràs no desitjat,3,3,3,2,2,2,1,2,1,1,1,1,1,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,NA,3,1,18,1,2,NA,NA,1,1,1,1,2,1,2,1,2,2,1,2,4,6,3,1,1,NA,NA,
        34,1,2013-11-21,10:00:00,2,1,4,1,1,3,22,3,4,SIDA,98,98,4,3,3,2,3,2,3,2,1,3,2,2,1,2,3,1,1,2,1,2,2,3,1,2,3,1,2,3,3,2,3,3,3,3,1,17,1,2,NA,NA,1,1,2,1,2,1,1,2,1,2,1,1,1,4,3,2,1,4,4,
        35,1,2013-11-21,13:05:00,2,1,4,1,1,1,20,5,6,SIDA,98,98,3,2,2,1,2,2,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,3,NA,4,1,18,1,2,NA,NA,2,1,1,1,1,2,1,2,2,2,1,1,2,6,NA,NA,NA,2,2,
        36,1,2013-11-21,13:30:00,2,1,3,1,1,3,24,3,4,98,98,98,4,3,3,2,3,2,1,2,2,2,1,2,1,NA,NA,NA,NA,NA,2,3,3,1,1,3,3,NA,NA,NA,NA,1,3,2,3,2,1,17,1,2,NA,NA,1,1,1,1,1,1,1,2,2,1,1,1,3,6,NA,NA,NA,3,2,
        37,1,2013-11-22,11:00:00,2,1,2,1,1,2,19,1,5,"SIDA, sifilis, gonorrea, hepatitis","herpes, ladilles, infeccions","Embaràs no desitjat, problemes psicològics",4,3,NA,NA,4,2,1,2,1,2,1,2,1,4,4,1,2,2,2,2,3,2,1,3,3,1,3,NA,3,1,NA,2,NA,2,1,16,1,1,2,6,1,1,1,1,1,1,1,1,2,2,1,1,4,6,4,3,1,4,3,
        38,1,2013-11-22,12:15:00,2,1,2,2,1,2,19,3,4,"SIDA, sifilis, gonorrea",98,98,4,3,3,2,3,2,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,3,3,3,1,16,1,2,NA,NA,2,1,1,1,1,1,2,2,1,2,1,2,2,6,3,2,1,4,4,
        39,1,2013-11-22,12:30:00,2,1,4,1,1,2,21,3,4,98,98,98,4,NA,NA,NA,NA,NA,1,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,1,2,1,1,2,1,2,2,2,1,1,2,6,NA,NA,1,4,4,
        40,1,2013-11-22,13:30:00,2,1,4,2,1,3,21,3,4,SIDA,"Gonorre, sífilis",Embaràs no desitjat,4,4,4,3,3,3,3,4,4,4,2,3,2,3,2,1,1,1,1,3,3,1,1,3,3,1,4,2,3,3,3,2,3,2,1,17,1,1,1,32,1,1,1,1,1,1,1,2,2,2,2,2,4,6,3,2,1,2,3,
,1,2013-11-18,13:15:00,2,2,20,1,1,2,20,1,2,"Sida, clamidia",98,Embaràs,4,4,4,3,4,2,1,3,1,3,1,3,1,3,2,1,1,1,1,1,2,1,1,2,2,1,2,2,3,1,3,2,NA,3,1,17,1,2,NA,NA,1,1,1,1,2,1,1,2,2,1,1,2,1,6,3,2,1,2,2,GRUP2M
,1,2013-11-18,13:55:00,2,2,21,1,1,3,20,1,4,"VIH, sífilis",Herpes,Embaràs no desitjat,4,4,4,4,3,2,1,2,1,3,1,3,1,2,2,1,1,1,1,1,3,1,1,2,3,2,2,2,3,1,2,2,NA,2,1,16,1,2,NA,NA,1,1,2,2,1,2,1,2,2,1,1,2,2,6,2,2,2,2,3,
,1,2013-11-19,12:50:00,2,2,21,2,1,1,19,1,2,"VIH, gonorrea",98,"Embaràs, ralladures de cap",4,4,4,4,4,3,3,3,2,3,1,2,1,2,2,1,2,1,1,1,4,1,1,3,2,2,2,3,3,1,3,2,3,2,1,16,1,1,1,6,1,1,2,1,2,1,1,2,1,1,1,1,2,6,4,2,2,3,3,
,1,2013-11-21,12:30:00,2,2,18,2,1,3,22,1,2,"VIH, sífilis, tricomoniasis",98,Quedar-me embarassada sense voler,4,4,4,4,4,3,2,3,2,3,1,2,1,2,2,1,1,1,1,1,2,1,1,NA,2,1,2,2,2,1,3,2,3,2,1,16,3,2,NA,NA,1,1,2,2,1,1,1,1,2,1,1,1,2,6,3,2,2,2,2,
,1,2013-11-22,13:05:00,2,2,20,2,1,3,21,1,4,Sida,Herpes,98,4,4,4,4,4,3,1,2,1,3,1,2,1,4,2,1,1,1,1,1,NA,1,1,NA,2,1,3,2,3,1,3,1,NA,2,1,16,1,1,1,3,1,1,2,2,2,1,1,2,1,1,1,1,2,6,4,2,1,2,3,
,1,2013-11-22,14:15:00,2,2,23,1,1,3,20,3,4,Sida,Herpes,98,4,4,4,4,3,2,1,2,1,2,1,2,1,3,3,2,3,2,2,2,3,2,1,3,3,1,3,3,3,1,3,4,NA,3,1,NA,1,2,NA,NA,2,1,2,2,2,1,1,2,2,2,2,2,7,6,2,1,3,4,4,
,1,2013-11-25,10:15:00,2,2,19,1,1,2,19,1,2,"VIH, gonorrea, clamidia",98,Embaràs no desitjat,4,4,4,4,4,2,1,3,1,3,1,3,1,3,2,1,2,1,1,1,3,1,1,3,2,1,2,3,3,1,3,2,3,2,1,16,1,2,NA,NA,1,1,1,1,1,1,1,2,2,1,1,1,2,7,3,2,2,4,3,
,1,2013-11-25,10:30:00,2,2,19,1,1,2,19,3,4,"VIH, gonorrea",Herpes,Embaràs,4,4,4,4,4,3,2,3,1,3,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,3,2,3,1,3,2,NA,2,1,17,1,1,2,12,1,1,2,1,2,1,1,1,2,1,1,1,1,6,5,2,2,NA,3,
,1,2013-11-25,11:40:00,2,2,18,2,1,4,24,1,2,"VIH, clamidia",98,98,4,4,4,4,4,3,1,2,1,3,1,3,1,2,2,1,2,1,1,1,2,1,1,3,3,1,2,2,3,1,3,2,NA,2,1,16,1,2,NA,NA,1,1,1,2,2,1,1,2,2,1,1,2,2,6,3,2,2,3,4,
,1,2013-11-25,14:25:00,2,2,19,2,1,4,23,1,2,"VIH, gonorrea",98,Un embaràs que no vull,4,4,4,4,4,3,2,3,2,3,1,3,1,2,2,1,1,1,2,1,2,1,1,3,2,1,2,2,2,1,3,3,3,3,1,18,1,2,NA,NA,1,1,2,1,2,1,1,2,2,1,1,2,2,6,2,1,2,4,4,
,1,2013-11-20,13:40:00,2,1,2,1,1,2,19,3,5,VIH,Sifiles i herpes,Embaràs,4,4,4,4,4,3,1,4,1,4,1,4,3,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,3,4,3,2,1,16,1,1,2,24,2,1,1,2,1,2,2,2,2,1,1,1,2,2,5,2,1,4,3,
,1,2013-11-21,14:00:00,2,1,4,1,1,1,18,5,NA,VIH,98,Embaràs,4,4,4,4,2,2,2,2,2,1,1,1,1,3,3,2,3,2,2,2,4,2,2,3,3,2,3,3,3,2,3,3,3,3,2,17,1,2,NA,NA,2,1,2,2,2,2,2,2,2,2,1,1,11,11,2,1,1,4,4,
,1,2013-11-21,14:20:00,2,1,4,1,1,1,18,3,5,VIH,98,Embaràs,4,3,3,2,2,2,1,1,1,1,1,1,1,4,4,2,2,1,1,2,3,2,2,3,4,1,2,3,3,1,3,3,3,3,1,16,1,1,2,3,2,2,1,2,2,2,2,2,2,1,1,2,3,3,4,1,2,3,3,
,1,2013-11-21,14:50:00,2,1,4,1,1,2,20,3,5,VIH,"Clamidia, sifilis, herpes i gonorrea",Embaràs,4,4,4,4,4,4,1,4,4,4,1,2,2,3,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,3,3,3,3,3,15,1,2,NA,NA,2,1,1,1,1,2,2,2,2,2,2,2,2,5,4,3,1,2,3,
,1,2013-11-21,16:30:00,2,1,3,1,1,2,19,3,6,VIH,Herpes,Embaràs,3,2,2,1,1,1,1,1,1,1,1,1,1,4,4,2,3,2,2,3,3,2,2,3,3,1,3,1,2,1,3,4,3,3,3,18,1,1,2,12,1,1,2,2,2,2,1,1,1,2,1,2,1,1,3,1,4,4,4,
,1,2013-11-22,15:10:00,2,1,5,1,1,1,18,5,NA,VIH,98,Embaràs,4,4,4,4,4,4,4,4,4,4,3,4,4,3,2,2,2,1,1,1,2,1,1,2,2,2,2,3,3,1,3,3,3,3,3,17,1,2,NA,NA,2,1,2,1,1,2,2,2,2,1,1,2,2,2,4,2,2,4,2,
,1,2013-11-22,16:00:00,2,1,2,1,1,2,19,4,5,VIH i sifilis,98,Embaràs,4,4,NA,NA,4,3,3,4,3,3,1,3,1,3,2,1,2,1,1,1,4,1,1,4,3,1,3,3,3,1,3,3,3,3,3,19,1,1,2,12,1,1,2,2,1,2,2,2,2,1,1,2,2,1,4,1,2,3,3,
,1,2013-11-25,13:35:00,2,2,18,1,1,1,19,5,NA,VIH,"Herpes, gonorrea i sifiles",Embaràs,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,1,1,1,1,3,2,1,3,1,1,1,2,3,3,1,3,3,3,3,3,16,2,1,1,13,1,2,2,2,2,2,2,2,2,2,1,2,11,11,5,1,1,4,4,
,1,2013-11-25,14:10:00,2,2,21,1,1,1,19,3,5,VIH,Herpes,Embaràs,4,4,4,4,4,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,4,2,2,3,3,2,2,3,3,1,3,3,3,3,3,18,1,2,NA,NA,2,1,1,2,1,2,2,1,1,1,1,1,5,5,3,1,2,4,4,
,1,2013-11-25,14:30:00,2,2,18,1,1,2,19,3,5,VIH,98,Embaràs,4,4,NA,NA,NA,3,2,NA,3,3,1,3,2,3,3,2,3,2,2,3,3,3,2,3,3,2,3,3,3,1,3,3,3,3,3,19,1,2,NA,NA,2,1,1,2,2,2,2,2,2,2,1,2,3,3,2,1,1,4,3,
,1,2013-11-21,11:00:00,2,2,21,1,1,2,19,3,5,sida,98,embaràs,4,4,4,3,4,2,1,NA,NA,3,1,3,1,2,2,1,1,1,1,1,4,1,1,2,3,1,1,3,4,1,3,2,4,3,1,16,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,7,2,2,1,2,3,
,1,2013-11-21,11:20:00,2,2,21,1,1,2,19,5,6,sida. sífilis,98,embaràs,4,4,4,4,4,4,4,4,4,2,1,2,2,3,3,1,3,2,2,2,2,2,1,1,3,2,1,2,3,1,NA,2,NA,3,1,17,1,2,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,2,4,
,1,2013-11-21,11:40:00,2,2,21,1,1,2,20,4,5,"sida,sífilis,gonorrea",98,embaràs,4,4,4,4,4,4,4,4,2,2,1,3,3,2,2,1,1,1,1,1,1,1,1,1,2,1,3,3,3,1,NA,2,NA,2,1,16,1,1,2,48,1,1,2,1,2,1,1,2,2,1,1,1,1,6,4,3,1,1,3,
,1,2013-11-21,11:00:00,2,2,21,1,1,1,19,3,4,sida,98,embaràs,4,4,4,4,2,2,2,2,2,1,1,2,1,4,3,1,3,1,1,4,4,2,1,4,4,3,2,3,3,1,3,2,NA,2,1,18,1,2,NA,NA,2,1,2,1,1,2,1,2,2,1,1,1,2,11,2,2,1,4,4,
,1,2013-11-21,12:54:00,2,2,22,1,1,2,20,3,4,98,98,98,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,2,1,1,3,3,1,3,1,1,2,1,4,4,1,4,2,4,3,1,15,2,2,NA,NA,2,1,1,1,2,1,1,2,1,1,1,1,7,7,3,1,1,3,3,
,1,2013-11-21,14:35:00,2,2,18,2,1,2,20,5,6,"sífilis, gonorrea, VIH, herpes genital",98,embaràs,4,4,4,4,4,4,2,4,2,4,2,4,2,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,3,2,NA,2,NA,2,2,16,1,1,1,5,1,1,1,1,1,1,1,2,1,1,1,1,4,4,4,1,1,2,3,
,1,2013-11-21,14:55:00,2,2,18,2,1,2,20,3,5,sida,98,98,4,4,4,4,4,4,2,4,4,2,1,2,2,4,4,1,1,1,1,1,1,1,1,4,4,2,1,3,3,1,3,2,3,3,1,16,1,2,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,
,1,2013-11-25,09:30:00,2,2,17,2,1,NA,29,5,7,99,99,99,4,4,4,4,4,4,4,4,4,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,1,NA,2,NA,2,1,15,1,1,1,84,1,1,1,1,1,1,1,1,1,1,1,1,3,6,5,2,1,2,4,
,1,2013-11-25,11:00:00,2,2,19,2,1,1,23,3,4,sida,98,98,4,4,4,4,4,4,4,3,2,3,2,3,2,4,2,1,2,1,3,1,1,3,1,1,3,3,1,3,1,2,NA,2,NA,2,2,16,1,2,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,2,1,4,3,
,1,2013-11-25,13:46:00,2,2,18,2,1,2,19,5,6,sida,98,embaràs,4,3,4,4,3,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,3,3,1,2,3,3,1,4,2,2,3,1,18,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,3,3,
,1,2013-11-19,10:00:00,2,2,18,1,1,2,21,3,4,VIH,"Gonorrea, Herpes",Embaràs,3,3,3,3,3,2,1,3,2,3,2,3,2,3,2,1,2,1,1,1,1,1,1,1,3,1,3,3,3,1,3,2,3,3,1,17,1,1,2,48,1,1,2,1,2,2,1,2,1,2,1,2,1,7,5,2,1,3,3,
,1,2013-11-19,10:20:00,2,2,18,2,1,1,19,1,2,"Sida, Sifilis","Gonorrea, Herpes",Embaràs,4,4,4,4,4,2,1,4,2,4,1,4,1,4,3,2,2,1,1,2,4,2,1,3,3,1,2,3,3,1,3,3,3,3,1,15,1,2,NA,NA,1,2,2,2,2,2,1,2,2,2,1,2,11,6,3,2,1,2,3,
