PONDERA;ORDRE_REVISADA;ANY;MES;DIA;HOR_INI;HOR_FIN;DURADA;TIP_TEL;ENQUESTADOR_CODI;ENQUESTADOR_SEXE;ENQUESTADOR_EDAT;ENQUESTADOR_ESTUDIS;ENQUESTADOR_NACIONALITAT;NUM_QUEST_CAMP;PROVINCIA;HABITAT;MUNICIPI;COMARCA;DOMICILI_PARTICULAR;LLENGUA_ENQUESTA;LLENGUA_SISTEMA;PADRO;CIUTADANIA;SEXE;EDAT;EDAT_GR;EDAT_CEO;US_TELEFON_FIX;LLOC_NAIX;HORA_PRIMERA_PREGUNTA;CIRCUIT_992_1;P1;P2;P3;P4;P5;P5_LITERALS;P6;P7;P8;P9;P10;P11;P12_1;P12_2;P13_A;P13_B;P13_C;P13_D;P13_E;P14;P15;P15_LITERALS;P16_1;P16_2;P16_3;P16_4;P16_LITERALS;P17;P17_LITERALS;P18_A;P18_B;P18_B_LITERALS;P19A_A_FERNANDEZ;P19B_A_FERNANDEZ;P19A_L_BORRAS;P19B_L_BORRAS;P19A_P_ARAGONES;P19B_P_ARAGONES;P19A_S_ILLA;P19B_S_ILLA;P19A_J_ALBIACH;P19B_J_ALBIACH;P19A_C_CARRIZOSA;P19B_C_CARRIZOSA;P19A_D_SABATER;P19B_D_SABATER;P19A_I_GARRIGA;P19B_I_GARRIGA;P19A_A_CHACON;P19B_A_CHACON;P20;P21;P22;P23;P23_LITERALS;P24;P25;P26;P27;P28;P29;P29_LITERALS;P30;P31;P32;P33;P33_LITERALS;P34;P34_LITERALS;P35;P36;P37;P38;P39;P40_1;P40_2;P40_3;P40_4;P40_LITERALS;HORA_ÚLTIMA_PREGUNTA;E1;E2;E3;E4;E5;E6;SUPERVISADA;P5R;P15R;P16_1R;P16_2R;P16_3R;P16_4R;P17R;P18R;P18_CENS;P18R_CENS;P16R
1;130;2021;1; ; ; ;781;Trucada a telèfon mòbil;645;Home;53;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 150.001 a 1.000.000;HOSPITALET DE LLOBREGAT, L';Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;47;De 35 a 49 anys;De 45 a 49 anys;Sí, en fa ús;Catalunya; ;1;Dolenta;Molt dolenta;Bastant;Molt dolenta;No contesta;-;Centre;Mínim catalanisme;Massa autonomia;Una comunitat autònoma d’Espanya;No;Amb tota seguretat aniré a votar;El propi partit; ;2;5;8;8;2;Abans que comenci la campanya;No ho sap;-;No ho sap; ; ; ;-;ERC;-;Estic segur/a que vaig votar;No contesta;-;Sí;3;Sí;3;Sí;3;Sí;3;No; ;Sí;3;No; ;No; ;Sí;3; ;Altres comunitats autònomes;Altres comunitats autònomes;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Cicle formatiu de grau superior, FP2, Mestratge industrial o equivalent;-;Amb parella estable;2;Només espanyol/a;Castellà;-;Castellà;-;Classe mitjana-baixa; ;4;Entre 2.001€ i 3.000€;No; ; ; ; ;-; ;No;Quasi mai;Poc;Bastant;Bastant;Bastant; ;NS/NC;NS/NC;NS/NC; ; ; ;ERC;NS/NC;No contesta;NS/NC;NS/NC
1;131;2021;1; ; ; ;740;Trucada a telèfon mòbil;813;Dona;43;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;50;De 50 a 64 anys;De 50 a 54 anys;No;Catalunya; ;2;Dolenta;Dolenta;Bastant;5;ERC;-;Centre-esquerra;Màxim catalanisme;Un nivell insuficient d’autonomia;Un Estat independent;Sí;5;Les propostes electorals; ;7;Ho té molt en compte;9;9;Ho té molt en compte;Durant la campanya electoral;ERC;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;ERC;-;No; ;Sí;5;Sí;5;Sí;3;Sí;5;Sí;Molt deficient;Sí;6;No; ;Sí;5; ;Altres comunitats autònomes;Catalunya;Cap: Ateisme;-; ;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Cicle formatiu de grau superior, FP2, Mestratge industrial o equivalent;-;Divorciat/ada;0;Només català/ana;Català (Valencià/Balear);-;Català (Valencià/Balear);-; ;Classe treballadora mitjana;2;Entre 3.001€ i 4.000€;No; ; ; ; ;-; ;No;Quasi mai;Poc;Bastant;Bastant;Bastant; ;ERC;ERC; ; ; ; ;ERC;ERC;ERC;ERC; 
1;132;2021;1; ; ; ;919;Trucada a telèfon mòbil;629;Dona;58;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;38;De 35 a 49 anys;De 35 a 39 anys;No;Resta del món; ;1;Dolenta;Dolenta;Poc;7;Cap;-;No ho sap;5;Un nivell suficient d’autonomia;Un Estat independent;Sí;6;Les propostes electorals; ;5;6;6;7;7;El mateix dia de les eleccions;No ho sap;-;PPC;Catalunya en Comú Podem; ; ;-;No ho recorda;-;No ho sap; ;-;Sí;6;Sí;6;No; ;Sí;7;Sí;6;No; ;Sí;6;Sí;6;Sí;6;1990;Resta del món;Resta del món;Budisme;-;No, mai;Treballa; ;Assalariat/ada eventual o interí/ina;No ho sap;ESO completa (Graduat escolar), EGB, Batxiller elemental o Certificat d’Escolaritat o d’Estudis Primaris;-;Solter/a;0;Només espanyol/a;Castellà;-;Castellà;-;Classe mitjana-baixa; ;3;No ho sap;Sí;Altres; ; ; ;le cuesta hacer las cosas; ;No;Quasi mai;Poc;Poc;Poc;Poc; ;Cap;NS/NC;PPC;Catalunya en Comú Podem; ; ;NS/NC; ;No ho recorda;NS/NC;Catalunya en Comú Podem / PPC
1;133;2021;1; ; ; ;739;Trucada a telèfon fix;848;Dona;36;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;60;De 50 a 64 anys;De 60 a 64 anys;Sí, en fa ús;Catalunya; ;1;Molt dolenta;Dolenta;Bastant;5;No ho sap;-;Esquerra;9;Un nivell insuficient d’autonomia;Un Estat independent;Sí;Amb tota seguretat aniré a votar;La ideologia;Les propostes electorals;8;8;9;6;6;Abans que comenci la campanya;No ho sap;-;ERC;Junts per Catalunya; ; ;-;ERC;-;Estic segur/a que vaig votar;ERC;-;No; ;Sí;5;Sí;5;Sí;6;No; ;Sí;1;Sí;6;No; ;Sí;3; ;Altres comunitats autònomes;Catalunya;Cap: Agnosticisme;-; ;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector públic (Administració Pública + empreses públiques);Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o més);-;Vidu/a;2;Només català/ana;Totes dues igual: català (valencià/balear) i castellà;-;Castellà;-;Classe mitjana; ;2;Entre 3.001€ i 4.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Molt; ;NS/NC;NS/NC;ERC;Junts per Catalunya; ; ;ERC;ERC;ERC;ERC;Junts per Catalunya / ERC
1;134;2021;1; ; ; ;806;Trucada a telèfon mòbil;670;Dona;43;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 10.001 a 50.000; ;Vallès Occidental;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;48;De 35 a 49 anys;De 45 a 49 anys;Sí, en fa ús;Catalunya; ;2;Bona;Molt dolenta;Bastant;5;Altres partits;partits de centre esquerre;Centre;8;Un nivell insuficient d’autonomia;Un Estat independent;Sí;Amb tota seguretat aniré a votar;Les propostes electorals; ;9;9;Ho té molt en compte;Ho té molt en compte;7;El mateix dia de les eleccions;No contesta;-; ; ; ; ;-;No ho recorda;-;Estic segur/a que vaig votar;No contesta;-;Sí;2;Sí;6;Sí;6;Sí;4;No; ;Sí;Molt deficient;Sí;7;No; ;Sí;4; ;Catalunya;Catalunya;Catolicisme;-;Sí, algun cop a l’any;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o més);-;Casat/ada;2;Només català/ana;Català (Valencià/Balear);-;Català (Valencià/Balear);-; ;Classe mitjana alta;4;No contesta;No; ; ; ; ;-; ;No;Quasi mai;Poc;Bastant;Bastant;Bastant; ;Altres;NS/NC; ; ; ; ;NS/NC;NS/NC;No contesta;NS/NC; 
1;135;2021;1; ; ; ;803;Trucada a telèfon fix;645;Home;53;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 50.001 a 150.000;MATARÓ;Maresme;Sí;Li és indiferent;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;66;65 anys o més;De 65 a 69 anys;Sí, en fa ús;Altres comunitats autònomes; ;1;Molt dolenta;Dolenta;Gens;3;Cap;apolitico;Dreta;5;Un nivell suficient d’autonomia;Un Estat dins una Espanya federal;No;Amb tota seguretat no aniré a votar;El líder/cap de llista; ;5;7;4;5;8;El dia abans de les eleccions;No votarà;-; ; ; ; ;-;Junts per Catalunya;-;No vaig votar; ;-;Sí;3;No; ;Sí;4;Sí;3;No; ;No; ;No; ;No; ;No; ;1964;Altres comunitats autònomes;Altres comunitats autònomes;Catolicisme;-;Sí, algun cop a l’any;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector privat;ESO completa (Graduat escolar), EGB, Batxiller elemental o Certificat d’Escolaritat o d’Estudis Primaris;-;Casat/ada;2;Només espanyol/a;Castellà;-;Altres llengües o altres combinacions;español y francés;Classe mitjana; ;2;Entre 1.001€ i 2.000€;No; ; ; ; ;-; ;No;Quasi mai;Poc;Bastant;Bastant;Bastant; ;Cap;No votaria; ; ; ; ;Junts per Catalunya; ;No va votar;No va votar; 
1;136;2021;1; ; ; ;594;Trucada a telèfon fix;629;Dona;58;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 10.001 a 50.000; ;Baix Llobregat;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;48;De 35 a 49 anys;De 45 a 49 anys;Sí, en fa ús;Catalunya; ;1;Dolenta;Dolenta;Bastant;6;ERC;-;Esquerra;8;Un nivell insuficient d’autonomia;Un Estat dins una Espanya federal;Sí;Amb tota seguretat aniré a votar;L’actuació en el Govern/L’actuació a l’oposició;Les propostes electorals;8;8;8;6;8;Abans que comenci la campanya;ERC;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;ERC;-;Sí;3;Sí;6;Sí;7;Sí;6;Sí;7;Sí;Molt deficient;No; ;No; ;Sí;6; ;Catalunya;Catalunya;Cap: Ateisme;-; ;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Cursos d’especialització professional, Postgrau, Màster (MIR, FIR...);-;Casat/ada;1;Més català/ana que espanyol/a;Català (Valencià/Balear);-;Totes dues igual: català (valencià/balear) i castellà;-;Classe mitjana; ;3;Entre 3.001€ i 4.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Molt;Sí;ERC;ERC; ; ; ; ;ERC;ERC;ERC;ERC; 
1;137;2021;1; ; ; ;814;Trucada a telèfon mòbil;68;Dona;46;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 10.001 a 50.000; ;Baix Llobregat;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;57;De 50 a 64 anys;De 55 a 59 anys;No;Altres comunitats autònomes; ;1;Dolenta;Bona;Bastant;6;PSC;-;Esquerra;8;Un nivell insuficient d’autonomia;Una comunitat autònoma d’Espanya;No;8;El propi partit; ;Ho té molt en compte;Ho té molt en compte;Ho té molt en compte;Ho té molt en compte;Ho té molt en compte;Durant la campanya electoral;ERC;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;PSC;-;No; ;No; ;No; ;No; ;No; ;No; ;No; ;No; ;No; ;1965;Altres comunitats autònomes;Altres comunitats autònomes;Cap: Ateisme;-; ;No treballa;Aturat/ada i ha treballat abans; ;Sector públic (Administració Pública + empreses públiques);ESO completa (Graduat escolar), EGB, Batxiller elemental o Certificat d’Escolaritat o d’Estudis Primaris;-;Casat/ada;2;Tan espanyol/a com català/ana;Castellà;-;Castellà;-;Classe mitjana-baixa; ;6;Entre 1.001€ i 2.000€;No; ; ; ; ;-; ;No;Quasi mai;Gens;Molt;Molt;Molt;Sí;PSC;ERC; ; ; ; ;ERC;PSC;PSC;PSC; 
1;138;2021;1; ; ; ;1187;Trucada a telèfon mòbil;830;Dona;31;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 150.001 a 1.000.000;BADALONA;Barcelonès;Sí;Li és indiferent;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Dona;66;65 anys o més;De 65 a 69 anys;Sí, en fa ús;Catalunya; ;1;Ni bona ni dolenta;No contesta;Bastant;No ho sap;ERC;-;Centre-esquerra;Màxim catalanisme;Un nivell insuficient d’autonomia;Un Estat dins una Espanya federal;No ho sap;Amb tota seguretat aniré a votar;L’actuació en el Govern/L’actuació a l’oposició; ;5;5;4;5;7;Altres;ERC;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;ERC;-;No; ;Sí;5;Sí;7;Sí;7;Sí;No ho sap;Sí;1;Sí;Molt deficient;No; ;Sí;No ho sap; ;Catalunya;Catalunya;Catolicisme;-;No, mai;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector privat;Altres;curso de economia que no lo acbao;Casat/ada;2;Més català/ana que espanyol/a;Català (Valencià/Balear);-;Català (Valencià/Balear);-;Classe mitjana; ;2;Entre 1.001€ i 2.000€;Sí;Mobilitat reduïda; ; ; ;-; ;No;Mai;Gens;Molt;Bastant;Molt; ;ERC;ERC; ; ; ; ;ERC;ERC;ERC;ERC; 
1;139;2021;1; ; ; ;634;Trucada a telèfon mòbil;813;Dona;43;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 50.001 a 150.000;RUBÍ;Vallès Occidental;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania i una altra;Dona;39;De 35 a 49 anys;De 35 a 39 anys;Sí, però no en fa ús;Resta del món; ;2;Molt dolenta;Molt dolenta;Poc;4;PACMA;pacma;No ho sap;5;Un nivell suficient d’autonomia;Una comunitat autònoma d’Espanya;No;Amb tota seguretat aniré a votar;L’actuació en el Govern/L’actuació a l’oposició; ;8;Ho té molt en compte;Ho té molt en compte;8;Ho té molt en compte;Abans que comenci la campanya;No ho sap;-;No ho sap; ; ; ;-;No ho recorda;-;Habitualment voto, però aquesta vegada no; ;-;No; ;Sí;No ho sap;Sí;5;Sí;5;No; ;No; ;Sí;No ho sap;No; ;No; ;2005;Resta del món;Resta del món;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada eventual o interí/ina;Sector públic (Administració Pública + empreses públiques);Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Divorciat/ada;1;Tan espanyol/a com català/ana;Castellà;-;Castellà;-; ;Classe treballadora baixa;2;Inferiors a 1.000€;No; ; ; ; ;-; ;No;Quasi mai;Poc;Bastant;Bastant;Bastant; ;Altres;NS/NC;NS/NC; ; ; ;NS/NC; ;No va votar;No va votar;NS/NC
1;140;2021;1; ; ; ;1117;Trucada a telèfon fix;827;Home;42;Universitari grau superior;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Dona;68;65 anys o més;De 65 a 69 anys;Sí, en fa ús;Altres comunitats autònomes; ;1;Ni bona ni dolenta;Ni bona ni dolenta;Poc;7;ERC;-;Esquerra;8;Un nivell suficient d’autonomia;Un Estat dins una Espanya federal;Sí;7;Les propostes electorals; ;No ho sap;6;No ho sap;7;5;Abans que comenci la campanya;ERC;-; ; ; ; ;-;ERC;-;Habitualment voto, però aquesta vegada no; ;-;No; ;Sí;6;Sí;7;Sí;7;No; ;Sí;6;Sí;6;No; ;Sí;6;1964;Altres comunitats autònomes;Altres comunitats autònomes;Cap: Agnosticisme;-; ;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector privat;Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Casat/ada;1;Tan espanyol/a com català/ana;Castellà;-;Castellà;-;Classe mitjana; ;3;Entre 1.001€ i 2.000€;No; ; ; ; ;-; ;No;Mai;Poc;Bastant;Molt;Bastant;Sí;ERC;ERC; ; ; ; ;ERC; ;No va votar;No va votar; 
1;141;2021;1; ; ; ;834;Trucada a telèfon mòbil;848;Dona;36;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 2.001 a 10.000; ;Alt Penedès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;53;De 50 a 64 anys;De 50 a 54 anys;Sí, però no en fa ús;Catalunya; ;2;Molt dolenta;Molt dolenta;Poc;5;No contesta;-;Centre-esquerra;8;Un nivell insuficient d’autonomia;Un Estat independent;Sí;5;Cap d’aquests; ;5;8;5;7;5;El mateix dia de les eleccions;No ho sap;-;No ho sap; ; ; ;-;No ho recorda;-;Estic segur/a que vaig votar;No ho recorda;-;Sí;3;Sí;3;Sí;3;Sí;3;Sí;3;Sí;3;Sí;3;Sí;3;Sí;3; ;Catalunya;Catalunya;Catolicisme;-;No, mai;Treballa; ;Professional o treballador/a autònom/a (sense assalariats/ades);Sector privat;Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o més);-;Casat/ada;4;Més català/ana que espanyol/a;Català (Valencià/Balear);-;Català (Valencià/Balear);-; ;Classe mitjana alta;5;Entre 3.001€ i 4.000€;No; ; ; ; ;-; ;No;Alguna vegada;Bastant;Bastant;Molt;Bastant; ;NS/NC;NS/NC;NS/NC; ; ; ;NS/NC;NS/NC;No ho recorda;NS/NC;NS/NC
1;142;2021;1; ; ; ;888;Trucada a telèfon mòbil;237;Dona;40;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;38;De 35 a 49 anys;De 35 a 39 anys;Sí, però no en fa ús;Catalunya; ;2;Bona;Molt dolenta;Bastant;Molt dolenta;Podemos;podemos;Esquerra;5;Un nivell suficient d’autonomia;Un Estat dins una Espanya federal;No;Amb tota seguretat aniré a votar;La ideologia;Les propostes electorals;9;7;Ho té molt en compte;9;5;Abans que comenci la campanya;No ho sap;-;PSC;Podemos; ; ;podemos;ERC;-;Estic segur/a que vaig votar;Catalunya en Comú Podem;-;No; ;Sí;1;Sí;1;Sí;7;No; ;No; ;No; ;No; ;No; ; ;Altres comunitats autònomes;Altres comunitats autònomes;Cap: Ateisme; ; ;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Cicle formatiu de grau mitjà, FP1, Oficialia industrial o equivalent;-;Amb parella estable;0;Tan espanyol/a com català/ana;Totes dues igual: català (valencià/balear) i castellà;-;Castellà;-; ;Classe treballadora mitjana;2;Entre 2.001€ i 3.000€;No; ; ; ; ;-; ;No;Alguna vegada;Gens;Molt;Molt;Molt; ;Catalunya en Comú Podem;NS/NC;PSC;Catalunya en Comú Podem; ; ;ERC;Catalunya en Comú Podem;Catalunya en Comú Podem;Catalunya en Comú Podem;PSC / Catalunya en Comú Podem
1;143;2021;1; ; ; ;786;Trucada a telèfon mòbil;695;Dona;54;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;44;De 35 a 49 anys;De 40 a 44 anys;Sí, però no en fa ús;Catalunya; ;2;Dolenta;Dolenta;Bastant;5;PSC;-;Esquerra;3;Un nivell suficient d’autonomia;Una comunitat autònoma d’Espanya;No;Amb tota seguretat aniré a votar;La ideologia; ;7;8;9;Ho té molt en compte;8;Abans que comenci la campanya;PSC;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;PSC;-;Sí;3;Sí;3;Sí;4;Sí;5;Sí;6;Sí;2;Sí;5;No; ;Sí;4; ;Altres comunitats autònomes;Altres comunitats autònomes;Catolicisme;-;No, mai;No treballa;Aturat/ada i ha treballat abans; ;Sector públic (Administració Pública + empreses públiques);Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Solter/a;0;Tan espanyol/a com català/ana;Castellà;-;Castellà;-; ;Classe mitjana baixa;3;Entre 1.001€ i 2.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Molt; ;PSC;PSC; ; ; ; ;ERC;PSC;PSC;PSC; 
1;144;2021;1; ; ; ;1173;Trucada a telèfon fix;690;Dona;44;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 50.001 a 150.000;MATARÓ;Maresme;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Dona;73;65 anys o més;De 70 a 74 anys;Sí, en fa ús;Altres comunitats autònomes; ;1;Dolenta;Dolenta;Gens;Molt dolenta;Cap;-;No contesta;Màxim catalanisme;Un nivell insuficient d’autonomia;Una comunitat autònoma d’Espanya;No;No ho sap;El propi partit; ;8;3;No ho té gens en compte;5;2;El mateix dia de les eleccions;No ho sap;-;No ho sap; ; ; ;-;No ho recorda;-;Estic segur/a que vaig votar;No ho recorda;-;No; ;No; ;No; ;Sí;8;No; ;No; ;No; ;No; ;No; ;No ho recorda;Altres comunitats autònomes;Altres comunitats autònomes;Cap: Agnosticisme;-; ;No treballa;Aturat/ada i ha treballat abans; ;Sector privat;ESO completa (Graduat escolar), EGB, Batxiller elemental o Certificat d’Escolaritat o d’Estudis Primaris;-;Vidu/a;0;Només espanyol/a;Castellà;-;Castellà;-;Classe mitjana; ;1;No contesta;Sí;Mobilitat reduïda; ; ; ;-; ;No;Quasi mai;Poc;Bastant;Bastant;Bastant; ;Cap;NS/NC;NS/NC; ; ; ;NS/NC;NS/NC;No ho recorda;NS/NC;NS/NC
1;145;2021;1; ; ; ;808;Trucada a telèfon mòbil;73;Dona;35;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;TARRAGONA;De 2.001 a 10.000; ;Montsià;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;50;De 50 a 64 anys;De 50 a 54 anys;No;Catalunya; ;1;Molt dolenta;Molt dolenta;Molt;1;PPC;-;Dreta;5;Un nivell suficient d’autonomia;Una comunitat autònoma d’Espanya;No;Amb tota seguretat aniré a votar;El propi partit; ;6;5;Ho té molt en compte;7;8;Durant la campanya electoral;PPC;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;C’s;-;Sí;6;Sí;No ho sap;Sí;Molt deficient;Sí;5;No; ;No; ;No; ;No; ;No; ; ;Altres comunitats autònomes;Catalunya;Catolicisme;-;Sí, algun cop a l’any;No treballa;Treball domèstic no remunerat; ; ;Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Casat/ada;2;Tan espanyol/a com català/ana;Altres llengües o altres combinacions;català, castellà i portuguès;Català (Valencià/Balear);-;Classe mitjana-alta; ;5;Entre 3.001€ i 4.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Molt;Sí;PPC;PPC; ; ; ; ;ERC;C's;C’s;C's; 
1;146;2021;1; ; ; ;894;Trucada a telèfon fix;810;Home;42;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 10.001 a 50.000; ;Vallès Oriental;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;58;De 50 a 64 anys;De 55 a 59 anys;Sí, en fa ús;Catalunya; ;1;Dolenta;Dolenta;Poc;6;ERC;-;Centre-esquerra;8;Un nivell insuficient d’autonomia;Un Estat independent;Sí;Amb tota seguretat aniré a votar;Les propostes electorals; ;8;8;8;3;3;Abans que comenci la campanya;ERC;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;ERC;-;Sí;3;Sí;4;Sí;7;Sí;4;No; ;Sí;3;No; ;No; ;No; ; ;Catalunya;Catalunya;Cap: Ateisme;-; ;Està en un ERTO; ;Empresari/ària o professional amb assalariats/ades;Sector privat;Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o més);-;Casat/ada;2;Només català/ana;Català (Valencià/Balear);-;Català (Valencià/Balear);-;Classe mitjana; ;4;Entre 3.001€ i 4.000€;No; ; ; ; ;-; ;No;Quasi mai;Gens;Bastant;Bastant;Bastant; ;ERC;ERC; ; ; ; ;ERC;ERC;ERC;ERC; 
1;147;2021;1; ; ; ;716;Trucada a telèfon mòbil;645;Home;53;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;26;De 25 a 34 anys;De 25 a 29 anys;Sí, però no en fa ús;Catalunya; ;1;Bona;Bona;Poc;6;ERC;-;Esquerra;7;Un nivell suficient d’autonomia;Un Estat dins una Espanya federal;No;Amb tota seguretat aniré a votar;La ideologia; ;7;9;9;8;7;Abans que comenci la campanya;ERC;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;ERC;-;No; ;Sí;5;Sí;5;Sí;5;No; ;No; ;No; ;Sí;5;No; ; ;Altres comunitats autònomes;Catalunya;Catolicisme;-;No, mai;No treballa;Aturat /ada i busca la primera feina; ; ;Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Solter/a;0;Tan espanyol/a com català/ana;Totes dues igual: català (valencià/balear) i castellà;-;Castellà;-;Classe mitjana; ;5;Entre 3.001€ i 4.000€;Sí;Ceguesa, visual;Transtorns mental; ; ;enfermedad mental; ;No;Alguna vegada;Bastant;Bastant;Bastant;Bastant;Sí;ERC;ERC; ; ; ; ;ERC;ERC;ERC;ERC; 
1;148;2021;1; ; ; ;711;Trucada a telèfon mòbil;659;Dona;35;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;GIRONA;De 10.001 a 50.000; ;Baix Empordà;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;54;De 50 a 64 anys;De 50 a 54 anys;Sí, en fa ús;Catalunya; ;2;Molt dolenta;Molt dolenta;Gens;4;Cap;-;No ho sap;8;Un nivell insuficient d’autonomia;Un Estat independent;Sí;Amb tota seguretat no aniré a votar;Les propostes electorals; ;5;4;No ho té gens en compte;No ho té gens en compte;No ho té gens en compte;Abans que comenci la campanya;No votarà;-; ; ; ; ;-;Junts per Catalunya;-;Estic segur/a que vaig votar;Junts per Catalunya;-;No; ;Sí;No ho sap;No; ;Sí;4;No; ;No; ;No; ;Sí;No ho sap;No; ; ;Catalunya;Catalunya;Catolicisme;-;Sí, algun cop a l’any;No treballa;Aturat/ada i ha treballat abans; ;Sector privat;ESO completa (Graduat escolar), EGB, Batxiller elemental o Certificat d’Escolaritat o d’Estudis Primaris;-;Casat/ada;2;Tan espanyol/a com català/ana;Català (Valencià/Balear);-;Català (Valencià/Balear);-; ;Classe mitjana baixa;3;No ho sap;No; ; ; ; ;-; ;No;Alguna vegada;Poc;Molt;Molt;Molt;Sí;Cap;No votaria; ; ; ; ;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya; 
